词汇,词性,词义/用法,变位 / 特殊阴阳性,是否收藏
chez,prép.,,,
"clair,e",adj.,,,
couloir,n.m.,au bout du couloir,,
cuisine,n.f.,"faire la cuisine / dans la cuisine / cuisine chinoise/japonaise / cuisiner,ère",,
douche,n.f.,,,
entrée,n.f.,,,
étage,n.m.,,,
face,n.f.,,,
immeuble,n.m.,,,
"immobilier,ère",adj.,,,
louer,v.t.,,,
mètre,n.m.,mètre carré / La chambre fait 20 mètre carré,,
mois,n.m.,,,
parking,n.m.,,,
placard,n.m.,壁橱,,
plan,n.m.,平面图,,
"premier,ère",adj.,,,
"récent,e",adj.,parking récent,,
responsable,n.,,,
rez-de-chaussée,n.m.,,,
salle,n.f.,salle de bains / sport / lecture / à manger / d’attente,,
salutations,n.f.pl.,,,
sombre,adj.,,,
toilettes,n.f.pl.,faire la / sa toilette / aller aux toilettes,,
troisième,adj.,,,
Leçon 10,,,,
après,adv.,"ensuite, d’abord, enfin / finalement",,
arriver,v.i.,Nous arrivons au Canada.,,
banque,n.f.,à la banque,,
bien sûr,loc.adv.,,,
bus,n.m.,,,
continuer,v.,continuer à + inf.,,
"direct,e",adj.,,,
droit,adv.,aller tout droit,,
entrer,v.i.,entrer dans la salle de classe,,
jardin,n.m.,dans le jardin,,
jusque,prép,与介词连用：jusqu’a Pekin / jusqu’au bout / jusqu’a 12h15,,
là,adv.,,,
ligne,n.f.,,,
loin,adv.,L’école est loin / près de chez-moi.,,
métro,n.m.,,,
moto,n.f.,,,
musée,n.m.,au musée / dans le musée,,
opéra,n.m.,à l’opéra,,
par,prép.,passer par,,
pardon,n.m.,,,
passer,v.i.,passer à la banque,,
pied,n.m.,à pied,,
place,n.f.,sur la place,,
poste,n.f.,à la poste,,
prendre,v.,prendre le bus / le métro / prendre la rue,"Je prends, Tu prends, Il prend, Nou prenons, Vous prenez, Ils prennent",
rollers,n.m.pl.,,,
tourner,v.i.,tourner à gouce / à droite,,
tout,adv.,tout petite,,
travail,n.m.,aller au travail,,
traverser,v.t.,traverser la rue,,
vélo,n.m.,,,
voiture,n.f.,,,
Leçon 11,,,,
air,n.m.,air conditionné,,
bar,n.m.,aller au bar / dans le bar,,
bien sûr,,,,
bord,n.m.,au bord de (la mer / la rivière,,
carte ,n.f.,,,
circuit ,n.m,,,
"conditionné,e",adj.,,,
conseil,n.m.,Vous avez des conseils?,,
différence ,n.m.,différence entre A et B,,
est,n.m.,à l’est de,,
hélicoptère,n.m,,,
jour,n.m.,,,
île ,n.f,,,
juste,adv.,,,
mer ,n.f,,,
nord,n.m.,au nord de ,,
on,pron ,,,
ouest,n.m.,a l’ouest de,,
"parfait,e",adj.,,,
partir,v.i.,partir pour / partir de ,"Je pars, Tu pars, Il/Elle part, Nous partons, Vous partez, Ils/Elles partent",
piscine,n.f,aller à la piscine,,
plage,n.f.,sur la plage,,
puis,adv.,,,
réception,n.f.,à la réception,,
restaurant,n.m ,,,
sud,n.m,au sud de,,
télévision,n.f,téléphone n.m,,
terrasse,n.f.,,,
ville,n.f.,,,
visiter,v.t.,,,
voyage ,n.m.,agence de voyages,,
week-end,n.m.,,,
Leçon 12,,,,
aéroport,n.m.,,,
aquarium,n.m.,,,
