词汇,词性,词义/用法,变位 / 特殊阴阳性,是否收藏
midi,n.m.,,,
nouvelle,n.f.,,,
passer(se),v.pr.,绝对意义，“发生”: Qu’est-ce qui se passe? / Qu’est-ce qui s’est passé / Qu’est-ce qui arrive / Qu’est-ce qui est arrivé,,
pleuvoir,v.t.,,Il pleut / pleuvait p.p: plu,
radio,n.f.,,,
reportage,n.m.,报道,,
rouler,v.t.,,,
route,n.f.,,,
suivre,v.t,,"Je suis, Tu suis, Il suit, Nous suivons, ",
sur place,,,,
terrible,adj.,,,
"terrifié,e",adj.,,,
vite,adv.,,,
